Country Name,Country Code,Year,Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Life expectancy at birth, total (years)",Maternal leave benefits (% of wages paid in covered period),"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)",Prevalence of hypertension (% of adults ages 30-79),Treatment for hypertension (% of adults ages 30-79 with hypertension),"Unemployment, total (% of total labor force)",GDP
Ethiopia,ETH,2011,3.4,0.3811754,60.595,100.0,237.149,304.045,28.3,11.3,2.275,31952763089.0
Fiji,FJI,2011,10.9,1.88993454,66.88,100.0,194.863,279.232,35.7,34.4,4.406,3779411899.0
Finland,FIN,2011,5.8,7.30151653,80.47073171,100.0,50.994,115.107,38.6,49.0,7.781,275127000000.0
France,FRA,2011,5.4,7.85247946,82.11463415,82.0,52.563,112.601,31.4,50.0,9.228,2870410000000.0
Gabon,GAB,2011,10.3,1.58558345,65.102,100.0,199.63,262.755,38.1,22.8,19.941,18210307744.0
Georgia,GEO,2011,2.8,1.36786854,72.485,100.0,86.107,239.427,44.5,46.8,19.632,15475290469.0
Germany,DEU,2011,5.3,8.12831306,80.43658537,100.0,52.91,98.648,34.0,59.4,5.967,3824830000000.0
Ghana,GHA,2011,5.0,2.35752678,61.617,100.0,241.037,291.391,37.5,26.2,4.227,39336668081.0
Greece,GRC,2011,5.1,6.040277,80.73170732,100.0,39.592,100.297,33.8,57.0,17.973,283228000000.0
Guatemala,GTM,2011,9.3,1.99347126,70.321,100.0,135.158,238.408,31.0,26.9,3.172,46876006272.0
Guinea,GIN,2011,4.4,0.51036745,56.778,100.0,272.632,309.254,42.8,16.1,5.094,6785137203.0
Honduras,HND,2011,6.7,3.89370441,70.116,100.0,143.555,206.434,33.9,51.6,4.474,17710275685.0
Hungary,HUN,2011,6.0,4.95389986,74.85853659,70.0,92.995,206.225,48.8,46.8,11.029,141713000000.0
Iceland,ISL,2011,3.2,6.61492586,82.35853659,59.0,42.839,60.652,31.3,68.0,7.028,1803990000000.0
India,IND,2011,9.0,0.93731916,67.623,100.0,144.819,218.148,31.7,23.3,7.616,1823050000000.0
Indonesia,IDN,2011,5.1,0.70190871,68.629,100.0,164.815,211.02,36.0,15.4,5.153,892969000000.0
"Iran, Islamic Rep.",IRN,2011,11.1,2.03396082,74.721,67.0,78.351,136.762,32.0,42.5,12.491,629082000000.0
Ireland,IRL,2011,5.2,7.63810492,80.74634146,44.0,52.197,89.52,34.6,39.5,15.354,241337000000.0
Israel,ISR,2011,7.4,4.28057051,81.65609756,100.0,43.868,75.336,30.9,52.5,7.139,268095000000.0
Italy,ITA,2011,5.1,6.7571559,82.18780488,80.0,40.484,71.981,37.7,48.8,8.359,2306970000000.0
Jamaica,JAM,2011,15.7,3.09656906,72.245,100.0,115.892,181.939,44.6,50.2,8.034,14444661522.0
Japan,JPN,2011,7.7,8.78255081,82.59121951,67.0,45.256,83.291,32.5,44.2,4.55,6233150000000.0
Jordan,JOR,2011,12.1,5.49565887,73.929,100.0,87.795,130.882,38.4,54.8,12.9,29524149155.0
Kazakhstan,KAZ,2011,7.7,1.84243858,69.108,100.0,131.181,328.074,41.8,64.4,5.39,192626000000.0
Kenya,KEN,2011,5.1,1.60566163,61.283,100.0,316.788,379.628,36.8,11.9,2.704,46869473151.0
"Korea, Rep.",KOR,2011,7.5,3.35769701,80.56829268,100.0,32.7,90.886,27.9,63.1,2.992,1253290000000.0
Kuwait,KWT,2011,20.7,1.97078466,78.0522439,100.0,46.205,80.674,41.2,50.9,2.053,154039000000.0
Kyrgyz Republic,KGZ,2011,6.3,3.69314909,69.60243902,22.0,135.108,301.912,39.4,40.7,2.999,6197765984.0
Lao PDR,LAO,2011,3.3,0.36693901,64.505,100.0,183.098,255.432,28.3,28.5,1.055,8750104617.0
